,rn,deltaG_prime,deltaG_prime (error),deltaG_prime_m,deltaG_prime_m (error)
265,ASPt2_2pp,0.0,0.0,0.0,0.0
266,ASPt2_3pp,0.0,0.0,0.0,0.0
267,ASPt2pp_copy1,0.0,0.0,0.0,0.0
268,CBL1abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
269,CBL1tonex,0.0,0.0,0.0,0.0
270,APCS,1.1120863445945588,100007.5506661145,1.1120863445945588,100007.5506661145
271,CBMD,-5.191994166177338,3.3622798595352226,-22.30683170089837,3.3622798595352226
272,CBMKr,22.47424846400216,3.950045431658795,39.58908599872319,3.950045431658795
273,CBPS,-13.51102506385061,2.645151726277537,-30.625862598571644,2.645151726277537
274,ASPt2pp_copy2,0.0,0.0,0.0,0.0
275,ASPtex,0.0,0.0,0.0,0.0
276,ASR,43.70263263672764,100000.0,60.817470171448676,100000.0
277,AST,-8.009958404669192,5.813179028801804,-8.009958404669192,5.813179028801804
278,ATHRDHr,13.064901492314902,1.011096647289965,13.064901492314902,1.011096647289965
279,ATPHs,-53.405429444520706,3.546510159481669,-70.52026697924174,3.546510159481669
280,ATPM,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
281,CCGS,-103.11557419852411,100004.20175420053,-103.11557419852411,100004.20175420053
282,CD2abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
283,CD2t3pp,0.0,0.0,0.0,0.0
284,CD2tex,0.0,0.0,0.0,0.0
285,ATPPRT,-51.5416133286127,100000.0,-51.5416133286127,100000.0
286,ATPS4rpp,29.144472212600178,0.3042778553577673,46.25930974732121,0.3042778553577673
287,BALAt2pp,0.0,0.0,0.0,0.0
288,BALAtex,0.0,0.0,0.0,0.0
289,BETALDHx,-41.270635725968305,1.0896565729574628,-41.270635725968305,1.0896565729574628
290,CD2tpp,0.0,0.0,0.0,0.0
291,CDAPPA140,-34.401412216102244,2.3462013513303646,-51.51624975082328,2.3462013513303646
292,CDAPPA180,-34.401412216101335,2.346201351330364,-51.51624975082237,2.346201351330364
293,CDGR,80.3580540829895,100004.1905407072,80.3580540829895,100004.1905407072
294,BETALDHy,-41.2846815280659,1.1067378058805326,-41.2846815280659,1.1067378058805326
295,BPNT,-7.719797902270351,3.126041656520828,-24.834635436991384,3.126041656520828
296,BSORx,45.248148489766436,100000.0,45.248148489766436,100000.0
297,BSORy,48.838457032041106,100000.0,48.838457032041106,100000.0
298,CDGS,-55.51881445593935,6.4066426242189936,-72.63365199066038,6.4066426242189936
299,CDPMEK,-9.043541611211026,4.273828550211526,-9.043541611211026,4.273828550211526
300,BTNt2ipp,0.0,0.0,0.0,0.0
301,BTNtex,0.0,0.0,0.0,0.0
302,CFAS160G,-203.477736731214,200022.2851873451,-203.477736731214,200022.2851873451
303,BUTSO3abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
304,BUTSO3tex,0.0,0.0,0.0,0.0
305,CGLYabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
306,CGLYtex,0.0,0.0,0.0,0.0
307,CHLabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
308,CHLt2pp,0.0,0.0,0.0,0.0
309,CHLtex,0.0,0.0,0.0,0.0
310,BUTt2rpp,0.0,0.0,0.0,0.0
311,BUTtex,0.0,0.0,0.0,0.0
312,CA2t3pp,0.0,0.0,0.0,0.0
313,CA2tex,0.0,0.0,0.0,0.0
314,CADVtpp,0.0,0.0,0.0,0.0
315,CHOLD,15.20980858156804,1.2144288052976322,15.20980858156804,1.2144288052976322
316,CHORM,-48.66943874073149,4.638893640987781,-48.66943874073149,4.638893640987781
317,CHORS,-45.59381208707193,3.830071787026786,-62.708649621792965,3.830071787026786
318,CHRPL,-112.93090344233198,7.376345269431926,-130.04574097705301,7.376345269431926
319,CHTBStex,0.0,0.0,0.0,0.0
320,CINNDO,-361.06492245161417,8.659310309661706,-343.95008491689316,8.659310309661706
321,CITL,3.801510778932368,0.47660734533257426,-13.313326755788665,0.47660734533257426
322,CLt3_2pp,0.0,0.0,0.0,0.0
323,CITt3pp,0.0,0.0,0.0,0.0
324,CITt7pp,0.0,0.0,0.0,0.0
325,CITtex,0.0,0.0,0.0,0.0
326,CLtex,0.0,0.0,0.0,0.0
327,CMPN,-11.758332554573542,2.5139079829278494,-28.873170089294575,2.5139079829278494
328,CMPtex,0.0,0.0,0.0,0.0
329,CLIPAabctex,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
330,CLPNH140pp,-248.9157470620944,70714.22801791923,-266.0305845968154,70714.22801791923
331,CMtex,0.0,0.0,0.0,0.0
332,CMtpp,0.0,0.0,0.0,0.0
333,CO2tex,0.0,0.0,0.0,0.0
334,CLPNH160pp,-248.91574706209508,70714.22801791923,-266.0305845968161,70714.22801791923
335,CO2tpp,0.0,0.0,0.0,0.0
336,COBALT2abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
337,COBALT2t3pp,0.0,0.0,0.0,0.0
338,COBALT2tex,0.0,0.0,0.0,0.0
339,CLPNS140pp,-7.060205374637576,2.2129094558673703,-7.060205374637576,2.2129094558673703
340,COBALT2tpp,0.0,0.0,0.0,0.0
341,CLPNS160pp,-7.060205374636666,2.2129094558673703,-7.060205374636666,2.2129094558673703
342,CLPNS161pp,-7.060205374637576,2.2129094558673703,-7.060205374637576,2.2129094558673703
343,COLIPAPabctex,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
344,COLIPAabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
345,COLIPAabctex,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
346,CPGNUtex,0.0,0.0,0.0,0.0
347,CPGNUtpp,0.0,0.0,0.0,0.0
348,APPLDHr,-15.462185915431519,0.9862312729818159,-15.462185915431519,0.9862312729818159
349,CPGNabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
350,CPGNtonex,0.0,0.0,0.0,0.0
351,CYANtex,0.0,0.0,0.0,0.0
352,CYNTAH,-41.229151519114595,6.687061122788411,-58.34398905383563,6.687061122788411
353,CYNTt2pp,0.0,0.0,0.0,0.0
354,CYNTtex,0.0,0.0,0.0,0.0
355,CYSDDS,2.2962893176378714,4.493284797400315,-31.933385751804195,4.493284797400315
356,CYSDS,-6.882489682278646,4.288847029793002,-41.11216475172071,4.288847029793002
357,CYSDabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
358,CYSDtex,0.0,0.0,0.0,0.0
359,CYSS,-51.32473446176539,5.2375316173818565,-51.32473446176539,5.2375316173818565
360,CYSSADS,-250.73926119389716,100005.2516900848,-267.85409872861817,100005.2516900848
361,CPPPGO,-355.26373309413293,7.633339170285426,-372.37857062885394,7.633339170285426
362,CPPPGO2,27.817321603776264,200013.65010539236,-40.64202853510787,200013.65010539236
363,CRNBTCT,0.7238273935120105,1.3761334357533619,0.7238273935120105,1.3761334357533619
364,CRNCAL2,5.722601150285506,2.0248707469686824,5.722601150285506,2.0248707469686824
365,CRNCAR,0.0,0.0,0.0,0.0
366,CYSTL,0.5347992692881292,2.7136456480309032,-33.69487580015394,2.7136456480309032
367,APRAUR,-25.896374088299808,1.6829725772166657,-25.896374088299808,1.6829725772166657
368,CYSabc2pp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
369,CRNCDH,-0.43196973130257277,1.4927180898117232,-0.43196973130257277,1.4927180898117232
370,CRNDCAL2,8.351667178460708,2.8185597235619424,8.351667178460708,2.8185597235619424
371,ARAI,4.8972429455521365,1.6927163689216838,4.8972429455521365,1.6927163689216838
372,CRNDabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
373,CYSabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
374,CYStex,0.0,0.0,0.0,0.0
